City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,Phan Thiet,VN,89.29,broken clouds,10.9333,108.1,Hotel Saigon-PT
356,Tabuk,PH,82.2,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
358,Gatton,AU,85.93,overcast clouds,-27.55,152.2833,Room Motels Gatton
361,Harper,LR,77.0,scattered clouds,4.375,-7.7169,Screensaver
364,Sinnamary,GF,75.69,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
366,Bandarbeyla,SO,76.82,broken clouds,9.4942,50.8122,JABIR HOTEL
370,Lorengau,PG,83.61,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
376,Jamkhed,IN,78.62,clear sky,18.7362,75.3121,Ugale's Residence
383,Kahului,US,75.22,clear sky,20.8947,-156.47,Maui Seaside Hotel
386,Japura,ID,90.93,broken clouds,-0.3167,102.35,Rumah mbah Jamah
387,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
397,Kattivakkam,IN,84.29,scattered clouds,13.2167,80.3167,Euronova Freezer
402,Nicoya,CR,78.35,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
408,Acapulco,MX,77.47,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
418,Kupang,ID,86.22,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
420,Laminusa,PH,82.2,broken clouds,5.5549,120.9136,Laminusa Port
424,Morondava,MG,80.44,light rain,-20.2833,44.2833,La Case Bambou
426,Tayu,ID,86.43,broken clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
431,Coxim,BR,75.07,broken clouds,-18.5067,-54.76,Hotel Avenida
433,Padang,ID,87.85,scattered clouds,-0.9492,100.3543,Mercure Padang
440,Wajir,KE,76.03,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
442,Mount Gambier,AU,76.91,clear sky,-37.8333,140.7667,The Commodore
443,Savannah Bight,HN,78.01,clear sky,16.45,-85.85,Villa on Dunbar Rock
448,Lethem,GY,76.06,scattered clouds,3.3803,-59.7968,Savannah Inn
450,Taree,AU,81.07,overcast clouds,-31.9,152.4667,All Seasons Country Lodge Taree
452,Almirante,PA,80.89,broken clouds,9.3,-82.4,Hotel 888
459,Thaton,MM,91.22,scattered clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
468,Monrovia,LR,78.57,moderate rain,6.3005,-10.7969,Sunset Inn
473,Moree,AU,93.22,scattered clouds,-29.4667,149.85,Molika Springs Motel
479,Bundaberg,AU,78.22,broken clouds,-24.85,152.35,Takalvan Motel
484,Kudahuvadhoo,MV,81.57,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
491,Cayenne,GF,77.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
507,Panalingaan,PH,85.15,broken clouds,8.7842,117.4231,I Love Panalingaan View Deck
511,Acajutla,SV,82.74,clear sky,13.5928,-89.8275,Laureles
512,Belmonte,BR,75.7,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
514,Natal,BR,80.82,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
515,Plaridel,PH,89.64,broken clouds,14.8872,120.8572,St. Agatha Resort
527,Intipuca,SV,82.35,few clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
533,Kampot,KH,86.05,scattered clouds,10.6167,104.1833,Two Moons Hotel
539,San Pedro De Macoris,DO,76.48,clear sky,18.4616,-69.2972,Apartahotel Guaraguao
546,Kawalu,ID,82.35,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
548,Cartagena Del Chaira,CO,75.38,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
553,Kambam,ID,83.3,overcast clouds,5.2505,96.8629,Imam & ebenk homestay
555,Mandera,KE,78.62,overcast clouds,3.9366,41.867,Mwalimu Guest mandera
557,Waingapu,ID,85.86,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
561,Junagarh,IN,77.07,clear sky,19.8667,82.9333,Hotel Swagat
583,Bodden Town,KY,76.93,clear sky,19.2833,-81.25,Will T Place
584,Phuket,TH,86.22,scattered clouds,8.0,98.25,The Surin
589,Nova Granada,BR,75.45,clear sky,-20.5339,-49.3142,Casa do maikão
591,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
593,Kovur,IN,81.75,scattered clouds,14.4833,79.9833,Hotel Yesh Park
609,Biak,ID,82.6,broken clouds,-0.9131,122.8766,Penginapan Kim
613,Piacabucu,BR,79.27,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
