City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Pitimbu,BR,-7.4706,-34.8086,81.19,79,35,8.93,scattered clouds
281,Nouadhibou,MR,20.931,-17.0347,64.38,72,100,14.97,overcast clouds
282,Hambantota,LK,6.1241,81.1185,82.74,78,40,16.11,light rain
283,Nizhniy Kuranakh,RU,58.8353,125.4869,-5.57,92,100,1.63,overcast clouds
284,Chernyshevskiy,RU,63.0128,112.4714,-3.77,94,100,1.43,overcast clouds
285,Muscat,OM,23.6139,58.5922,66.22,65,63,14.05,broken clouds
286,Kavaratti,IN,10.5669,72.642,81.09,70,1,8.59,clear sky
287,Tambopata,PE,-12.7333,-69.1833,68.54,96,82,0.87,broken clouds
288,Gizo,SB,-8.103,156.8419,83.59,71,76,6.11,broken clouds
289,Basco,PH,20.4487,121.9702,73.72,81,100,31.27,overcast clouds
290,Clyde River,CA,70.4692,-68.5914,-12.77,77,100,26.46,light snow
291,Salalah,OM,17.0151,54.0924,71.69,16,2,6.91,clear sky
292,Warmbad,NA,-28.45,18.7333,83.26,38,100,6.44,overcast clouds
293,Haines Junction,CA,60.7522,-137.5108,10.35,92,83,1.14,broken clouds
294,Santa Helena,BR,-2.2311,-45.3,72.37,99,100,1.81,overcast clouds
295,Miracema Do Tocantins,BR,-9.5618,-48.3967,73.04,96,100,0.78,light rain
296,Dubbo,AU,-32.25,148.6167,84.33,30,75,6.91,broken clouds
297,Marsa Matruh,EG,31.3525,27.2453,50.2,81,40,5.75,scattered clouds
298,Berlevag,NO,70.8578,29.0864,17.6,88,100,15.37,overcast clouds
299,Aykhal,RU,66.0,111.5,1.17,65,21,0.87,few clouds
300,Mayo,US,38.8876,-76.5119,30.94,66,0,9.22,clear sky
301,Slave Lake,CA,55.2834,-114.769,21.18,68,100,8.05,overcast clouds
302,Renqiu,CN,38.6989,116.0936,28.4,44,42,7.25,scattered clouds
303,Havelock,US,34.8791,-76.9013,40.98,85,100,3.0,overcast clouds
304,Calvinia,ZA,-31.4707,19.776,70.23,63,12,8.84,few clouds
305,Milford,US,41.2223,-73.0565,27.54,60,100,12.66,overcast clouds
306,Beira,MZ,-19.8436,34.8389,75.29,100,20,5.75,few clouds
307,Florestopolis,BR,-22.8633,-51.3872,77.41,82,36,1.92,scattered clouds
308,Navoi,UZ,40.0844,65.3792,36.88,75,100,11.5,overcast clouds
309,Saint-Philippe,RE,-21.3585,55.7679,81.99,78,26,11.77,scattered clouds
310,La Ronge,CA,55.1001,-105.2842,-0.15,78,0,5.75,clear sky
311,Sola,VU,-13.8833,167.55,82.71,76,80,15.86,broken clouds
312,Beipiao,CN,41.7919,120.7792,15.03,56,95,16.87,overcast clouds
313,Marystown,CA,47.1666,-55.1483,32.86,100,100,9.17,overcast clouds
314,Mackenzie,CA,55.2999,-123.1698,28.62,86,100,3.44,overcast clouds
315,Narsaq,GL,60.9167,-46.05,21.42,92,100,6.42,light snow
316,Ancud,CL,-41.8697,-73.8203,56.43,94,32,3.62,scattered clouds
317,Santiago De Chuco,PE,-8.15,-78.1833,49.03,87,100,0.92,light rain
318,Grand-Santi,GF,4.25,-54.3833,71.17,100,47,1.63,scattered clouds
319,Taitung,TW,22.7583,121.1444,71.87,73,75,3.44,broken clouds
320,Iranshahr,IR,27.2025,60.6848,57.54,62,13,0.0,few clouds
321,Oyem,GA,1.5995,11.5793,65.53,99,100,2.98,overcast clouds
322,Lanzhou,CN,36.0564,103.7922,34.88,58,59,1.48,broken clouds
323,Pochutla,MX,15.7432,-96.4661,79.65,51,61,4.14,broken clouds
324,Ziro,IN,27.6333,93.8333,45.34,26,0,1.1,clear sky
325,Bonito,BR,-21.1211,-56.4819,78.42,49,77,4.38,broken clouds
326,Port Blair,IN,11.6667,92.75,80.64,65,40,11.5,scattered clouds
327,Labuan,MY,5.2767,115.2417,86.36,62,20,3.44,few clouds
328,Cary,US,35.7915,-78.7811,36.59,87,75,0.0,broken clouds
329,Nhamunda,BR,-2.1861,-56.7131,73.08,95,96,1.59,overcast clouds
330,Shakiso,ET,5.75,38.9167,63.73,37,40,3.18,scattered clouds
331,Muroto,JP,33.2833,134.15,55.44,54,100,12.71,overcast clouds
332,Segou,ML,13.4317,-6.2157,65.93,16,2,10.29,clear sky
333,Aswan,EG,24.0934,32.907,56.5,38,0,5.75,clear sky
334,Port Macquarie,AU,-31.4333,152.9167,76.96,66,90,10.09,overcast clouds
335,Meulaboh,ID,4.1363,96.1285,85.1,65,89,3.78,overcast clouds
336,Dayong,CN,25.0209,118.2898,62.28,81,97,4.32,overcast clouds
337,Takoradi,GH,4.8845,-1.7554,78.03,87,100,5.06,overcast clouds
338,Coihaique,CL,-45.5752,-72.0662,56.01,67,88,2.3,overcast clouds
339,Olinda,BR,-8.0089,-34.8553,82.13,74,40,5.75,scattered clouds
340,Roma,US,43.2128,-75.4557,12.13,79,0,5.01,clear sky
341,Saint-Georges,GD,12.0564,-61.7485,77.22,68,29,13.67,scattered clouds
342,Kysyl-Syr,RU,63.8986,122.7617,-12.78,95,100,0.16,overcast clouds
343,Laguna,US,38.421,-121.4238,63.95,68,0,4.61,clear sky
344,Barbosa Ferraz,BR,-24.03,-52.0117,80.89,91,76,2.33,broken clouds
345,Highland Park,US,42.1817,-87.8003,13.91,62,20,4.61,few clouds
346,Trelleborg,SE,55.3751,13.1569,40.17,84,100,23.82,overcast clouds
347,Saraza,PH,8.7356,117.78,82.18,75,98,8.52,overcast clouds
348,Phan Thiet,VN,10.9333,108.1,89.29,55,65,19.75,broken clouds
349,Arkhara,RU,49.4212,130.0842,9.45,85,100,2.06,overcast clouds
350,Saint-Dizier,FR,48.4167,5.0833,48.25,77,97,20.96,overcast clouds
351,Kuusamo,FI,65.9667,29.1833,28.44,100,100,8.05,overcast clouds
352,Praia,CV,14.9215,-23.5087,70.34,83,40,18.41,scattered clouds
353,Andujar,ES,38.0392,-4.0508,55.94,87,96,11.16,overcast clouds
354,Saint George,US,37.1041,-113.5841,56.53,24,0,3.44,clear sky
355,Ust-Maya,RU,60.4167,134.5333,-13.07,89,99,1.9,overcast clouds
356,Tabuk,PH,17.4189,121.4443,82.2,72,66,1.79,broken clouds
357,Klaksvik,FO,62.2266,-6.589,34.72,62,100,25.88,overcast clouds
358,Gatton,AU,-27.55,152.2833,85.93,60,87,10.69,overcast clouds
359,Koutiala,ML,12.3917,-5.4642,68.52,16,4,9.73,clear sky
360,Feldkirchen,DE,48.148,11.7434,35.42,58,0,5.01,clear sky
361,Harper,LR,4.375,-7.7169,77.0,87,50,5.1,scattered clouds
362,Russell,US,32.3502,-85.1999,42.08,67,0,0.0,clear sky
363,Pevek,RU,69.7008,170.3133,-16.96,98,100,7.81,overcast clouds
364,Sinnamary,GF,5.3833,-52.95,75.69,91,83,9.06,broken clouds
365,Durango,MX,24.8333,-104.8333,40.24,42,96,0.67,overcast clouds
366,Bandarbeyla,SO,9.4942,50.8122,76.82,65,83,19.15,broken clouds
367,Am Timan,TD,11.0297,20.2827,70.14,18,89,5.99,overcast clouds
368,Omsukchan,RU,62.5333,155.8,-20.51,97,39,4.65,scattered clouds
369,Olga,RU,43.7444,135.2892,27.5,47,100,1.12,overcast clouds
370,Lorengau,PG,-2.0226,147.2712,83.61,73,62,3.65,broken clouds
371,Kasumkent,RU,41.6773,48.146,30.06,76,30,2.33,scattered clouds
372,Alice Springs,AU,-23.7,133.8833,98.15,18,0,11.5,clear sky
373,Pimentel,PE,-6.8367,-79.9342,72.34,78,98,9.57,overcast clouds
374,Marzuq,YE,14.4,46.4667,59.04,41,34,3.42,scattered clouds
375,Irtyshskiy,RU,58.3333,68.1333,-5.37,100,100,3.91,overcast clouds
376,Jamkhed,IN,18.7362,75.3121,78.62,23,9,13.0,clear sky
377,Roald,NO,62.5833,6.1333,36.34,75,100,27.63,overcast clouds
378,Tynda,RU,55.1667,124.7167,2.28,66,89,2.55,overcast clouds
379,Colares,PT,38.7992,-9.4469,54.34,73,2,20.0,clear sky
380,Ust-Kulom,RU,61.6864,53.6902,-0.8,100,100,3.13,overcast clouds
381,Aksu,CN,41.1231,80.2644,35.38,32,65,2.59,broken clouds
382,Wainwright,CA,52.839,-110.8572,17.51,95,100,5.99,overcast clouds
383,Kahului,US,20.8947,-156.47,75.22,72,0,11.5,clear sky
384,Navolato,MX,24.7672,-107.6944,60.64,67,7,5.3,clear sky
385,Wadi Maliz,TN,36.4681,8.5495,41.45,76,52,3.29,broken clouds
386,Japura,ID,-0.3167,102.35,90.93,57,77,1.59,broken clouds
387,Vila Velha,BR,-20.3297,-40.2925,75.15,94,20,4.61,few clouds
388,Bastia,FR,42.6667,9.3333,49.3,86,40,4.61,scattered clouds
389,Kumba,CM,4.6363,9.4469,71.08,90,14,2.06,few clouds
390,Skeldon,GY,5.8833,-57.1333,73.17,94,70,4.23,broken clouds
391,Lasa,IT,46.6166,10.7002,27.86,70,6,1.77,clear sky
392,Sur,OM,22.5667,59.5289,71.51,66,2,16.24,clear sky
393,Severo-Yeniseyskiy,RU,60.3725,93.0408,-3.19,87,35,8.23,scattered clouds
394,Tura,IN,25.5198,90.2201,73.36,35,0,1.01,clear sky
395,Yumen,CN,40.2833,97.2,34.21,28,42,14.85,scattered clouds
396,Suntar,RU,62.1444,117.6319,-3.91,92,100,2.04,overcast clouds
397,Kattivakkam,IN,13.2167,80.3167,84.29,74,44,11.25,scattered clouds
398,Lanskroun,CZ,49.9122,16.6119,34.72,78,14,11.83,few clouds
399,Khatanga,RU,71.9667,102.5,-25.11,100,60,2.84,broken clouds
400,Taksimo,RU,56.3444,114.8794,-9.31,87,30,1.45,scattered clouds
401,Khuzhir,RU,53.1939,107.3397,-0.02,84,58,13.49,broken clouds
402,Nicoya,CR,10.1483,-85.452,78.35,72,2,12.3,clear sky
403,Kamaishi,JP,39.2667,141.8833,38.35,42,7,2.8,clear sky
404,Ginir,ET,7.1333,40.7,62.42,48,91,2.68,overcast clouds
405,Nalobikha,RU,53.2006,84.6039,24.4,94,100,13.29,light snow
406,Jacareacanga,BR,-6.2222,-57.7528,73.09,99,100,3.02,overcast clouds
407,Port Augusta,AU,-32.5,137.7667,104.7,28,93,13.38,overcast clouds
408,Acapulco,MX,16.8634,-99.8901,77.47,70,71,3.0,broken clouds
409,Izberbash,RU,42.5696,47.8645,28.45,68,13,9.19,few clouds
410,Traralgon,AU,-38.1833,146.5333,97.84,22,8,4.34,clear sky
411,Capao Bonito,BR,-24.0058,-48.3494,63.81,95,24,2.17,few clouds
412,Ilukste,LV,55.9775,26.2966,29.41,83,100,9.15,overcast clouds
413,Chumikan,RU,54.7183,135.315,6.58,75,89,1.01,overcast clouds
414,Gat,IL,31.61,34.7642,52.81,100,99,4.76,overcast clouds
415,Zhaozhou,CN,45.6833,125.3167,7.05,83,100,9.82,overcast clouds
416,Kumi,KR,36.1136,128.336,53.28,47,44,3.85,light rain
417,Odweyne,SO,9.4092,45.064,70.16,32,44,11.7,scattered clouds
418,Kupang,ID,-10.1667,123.5833,86.22,63,4,2.28,clear sky
419,Sitka,US,57.0531,-135.33,40.89,81,100,11.5,light rain
420,Laminusa,PH,5.5549,120.9136,82.2,69,76,2.06,broken clouds
421,Lavrentiya,RU,65.5833,-171.0,-21.66,92,12,5.46,few clouds
422,Stokmarknes,NO,68.5646,14.9108,33.49,93,100,2.3,shower snow
423,Moose Factory,CA,51.2585,-80.6094,-22.02,83,0,1.14,clear sky
424,Morondava,MG,-20.2833,44.2833,80.44,84,31,7.52,light rain
425,Pooler,US,32.1155,-81.2471,48.94,34,0,10.36,clear sky
426,Tayu,ID,-6.5397,111.0518,86.43,67,60,3.89,broken clouds
427,Ngunguru,NZ,-35.6167,174.5,70.95,56,60,7.43,broken clouds
428,Escanaba,US,45.7453,-87.0646,9.03,84,0,0.0,clear sky
429,Goba,ET,7.0167,39.9833,56.14,38,59,0.56,broken clouds
430,Santo Anastacio,BR,-21.8383,-51.6103,73.76,76,5,3.0,clear sky
431,Coxim,BR,-18.5067,-54.76,75.07,83,76,2.57,broken clouds
432,Alta Floresta,BR,-9.8756,-56.0861,70.57,99,89,3.58,overcast clouds
433,Padang,ID,-0.9492,100.3543,87.85,57,37,5.55,scattered clouds
434,Lovozero,RU,68.005,35.0117,18.9,92,100,8.41,overcast clouds
435,Anchorage,US,61.2181,-149.9003,30.65,93,100,4.61,light snow
436,Rochegda,RU,62.8,43.25,20.88,95,100,8.88,light snow
437,Portoferraio,IT,42.8115,10.3146,51.1,75,87,9.8,overcast clouds
438,Forssa,FI,60.8146,23.6215,36.14,98,100,8.28,overcast clouds
439,Fortuna,US,40.5982,-124.1573,50.41,96,100,0.0,overcast clouds
440,Wajir,KE,1.7471,40.0573,76.03,66,49,12.91,scattered clouds
441,Nuuk,GL,64.1835,-51.7216,5.61,85,75,8.05,broken clouds
442,Mount Gambier,AU,-37.8333,140.7667,76.91,50,10,16.11,clear sky
443,Savannah Bight,HN,16.45,-85.85,78.01,75,3,11.39,clear sky
444,Luderitz,NA,-26.6481,15.1594,70.07,72,0,8.19,clear sky
445,Uren,RU,57.4552,45.7852,20.93,95,100,9.42,light snow
446,Nome,US,64.5011,-165.4064,-7.53,64,0,4.61,clear sky
447,Jose De Freitas,BR,-4.7564,-42.5756,72.55,97,100,4.03,moderate rain
448,Lethem,GY,3.3803,-59.7968,76.06,79,44,11.59,scattered clouds
449,Huarmey,PE,-10.0681,-78.1522,72.18,80,91,7.83,overcast clouds
450,Taree,AU,-31.9,152.4667,81.07,57,100,10.45,overcast clouds
451,Ryotsu,JP,38.0833,138.4333,39.16,57,7,8.88,clear sky
452,Almirante,PA,9.3,-82.4,80.89,90,72,6.78,broken clouds
453,Ust-Kuyga,RU,70.0167,135.6,-18.29,95,87,6.33,overcast clouds
454,Belyy Yar,RU,53.6039,91.3903,-13.11,84,99,0.0,mist
455,Podosinovets,RU,60.2776,47.0659,15.64,88,100,9.01,light snow
456,Guerrero Negro,MX,27.9769,-114.0611,66.0,51,4,7.02,clear sky
457,Portel,BR,-1.9356,-50.8211,73.51,94,96,2.48,overcast clouds
458,Cobija,BO,-11.0267,-68.7692,69.48,98,100,2.48,light rain
459,Thaton,MM,16.9206,97.3714,91.22,20,41,3.15,scattered clouds
460,Murwara,IN,23.85,80.4,72.5,20,1,4.05,clear sky
461,Avera,US,33.194,-82.5271,44.47,38,0,12.82,clear sky
462,Rocha,UY,-34.4833,-54.3333,57.67,65,21,8.08,few clouds
463,Encruzilhada Do Sul,BR,-30.5439,-52.5219,54.5,46,0,4.88,clear sky
464,Scarborough,GB,54.2797,-0.4044,44.65,85,100,5.99,overcast clouds
465,Macau,MO,22.2006,113.5461,67.86,63,20,12.66,few clouds
466,Tianpeng,CN,30.9866,103.9393,52.27,75,99,3.74,overcast clouds
467,Fonte Boa,BR,-2.4959,-66.2662,72.34,99,100,1.3,moderate rain
468,Monrovia,LR,6.3005,-10.7969,78.57,85,24,2.06,moderate rain
469,Bobo Dioulasso,BF,11.1771,-4.2979,68.54,15,3,6.02,clear sky
470,Raudeberg,NO,61.9875,5.1352,36.27,92,100,15.99,overcast clouds
471,Malakal,SS,9.5334,31.6605,74.98,16,83,8.93,broken clouds
472,Gravdal,NO,68.1214,13.5031,30.09,93,100,8.05,snow
473,Moree,AU,-29.4667,149.85,93.22,21,40,6.91,scattered clouds
474,Rudbar,AF,30.15,62.6,51.15,47,35,13.13,scattered clouds
475,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,67.5,41,0,3.85,clear sky
476,Araouane,ML,18.9048,-3.5265,56.53,27,37,11.45,scattered clouds
477,Corigliano Calabro,IT,39.595,16.5177,48.09,78,47,4.63,scattered clouds
478,Saint-Augustin,CA,51.226,-58.6502,-26.05,93,44,4.45,scattered clouds
479,Bundaberg,AU,-24.85,152.35,78.22,82,75,18.41,broken clouds
480,Jinchang,CN,38.4953,102.1739,31.14,54,93,6.17,overcast clouds
481,Bjornevatn,NO,69.6672,29.9847,17.22,85,100,13.8,overcast clouds
482,Broome,US,42.2506,-75.833,12.81,79,0,6.91,clear sky
483,Mandiana,GN,10.6333,-8.6833,68.99,18,20,4.79,few clouds
484,Kudahuvadhoo,MV,2.6708,72.8944,81.57,76,70,7.67,broken clouds
485,Plouzane,FR,48.3833,-4.6167,44.65,87,20,10.36,few clouds
486,San Giuseppe Jato,IT,37.9734,13.1881,48.42,88,99,5.64,overcast clouds
487,Eldorado,BR,-23.7869,-54.2836,73.08,67,70,2.77,broken clouds
488,Kuruman,ZA,-27.4524,23.4325,70.99,44,0,5.53,clear sky
489,Tenkodogo,BF,11.78,-0.3697,73.0,13,29,8.81,scattered clouds
490,Westlock,CA,54.1502,-113.8688,26.96,93,100,7.2,overcast clouds
491,Cayenne,GF,4.9333,-52.3333,77.09,89,75,1.99,broken clouds
492,Atar,MR,20.5169,-13.0499,63.32,22,99,8.48,overcast clouds
493,Altay,CN,47.8667,88.1167,16.93,72,100,1.97,overcast clouds
494,Jalu,LY,29.0331,21.5482,50.86,62,0,6.06,clear sky
495,Latina,IT,41.45,13.1,51.94,91,43,1.99,scattered clouds
496,Bukachacha,RU,52.9833,116.9167,2.39,76,91,2.64,overcast clouds
497,Klyuchevskiy,RU,53.5317,119.4519,3.76,77,100,2.71,overcast clouds
498,Camacha,PT,33.0833,-16.3333,58.42,72,20,6.91,few clouds
499,Nangong,CN,37.3581,115.3744,33.82,46,99,7.7,overcast clouds
500,Pag,HR,44.445,15.0575,41.58,85,99,12.57,overcast clouds
501,Zhigansk,RU,66.7697,123.3711,-24.66,95,75,1.66,broken clouds
502,Kelso,US,46.1468,-122.9084,54.72,75,0,3.44,clear sky
503,Caiaponia,BR,-16.9567,-51.8103,68.09,97,67,2.77,broken clouds
504,Arraias,BR,-12.9288,-46.9437,67.69,94,98,1.92,overcast clouds
505,Sonoita,MX,31.85,-112.8333,60.53,19,0,4.79,clear sky
506,Ust-Tsilma,RU,65.441,52.1498,1.26,98,90,4.56,overcast clouds
507,Panalingaan,PH,8.7842,117.4231,85.15,65,83,3.76,broken clouds
508,Tessalit,ML,20.1986,1.0114,56.57,27,27,9.24,scattered clouds
509,Pelym,RU,61.0108,61.9978,-2.09,98,95,0.54,overcast clouds
510,Ilulissat,GL,69.2167,-51.1,5.02,78,75,12.66,broken clouds
511,Acajutla,SV,13.5928,-89.8275,82.74,59,0,8.32,clear sky
512,Belmonte,BR,-15.8631,-38.8828,75.7,89,82,5.88,broken clouds
513,Lazaro Cardenas,MX,17.9583,-102.2,74.75,73,75,4.43,broken clouds
514,Natal,BR,-5.795,-35.2094,80.82,89,75,8.05,broken clouds
515,Plaridel,PH,14.8872,120.8572,89.64,58,74,3.44,broken clouds
516,Ellensburg,US,46.9965,-120.5479,39.09,74,0,6.91,clear sky
517,Hays,US,30.0502,-98.0336,50.09,47,0,7.99,clear sky
518,Peterborough,GB,52.5736,-0.2478,46.0,93,75,13.8,broken clouds
519,Thai Binh,VN,20.45,106.3333,62.6,69,100,4.07,overcast clouds
520,Katangli,RU,51.7102,143.2326,8.13,76,8,12.53,clear sky
521,Slubice,PL,52.3509,14.5607,38.21,54,96,4.0,overcast clouds
522,Sabancuy,MX,18.9667,-91.1833,70.41,79,97,17.74,overcast clouds
523,San Ignacio,BZ,17.1561,-89.0714,71.74,94,75,11.5,broken clouds
524,Taltal,CL,-25.4,-70.4833,66.92,80,3,1.21,clear sky
525,Komsomolskiy,UZ,40.4272,71.7189,42.15,81,100,4.61,mist
526,Gamba,GA,-2.65,10.0,77.18,86,94,0.87,light rain
527,Intipuca,SV,13.1969,-88.0544,82.35,58,24,3.62,few clouds
528,Abu Dhabi,AE,24.4667,54.3667,61.97,78,0,4.61,clear sky
